;Name;Time;Price;Min_price_24h;Max_price_24h;Market_cap;Vol_24h
0;1inch;2022-11-16 18:24:50.990833;$0.525937;$0.518301;$0.544801;$327,257,574;$20,044,785
1;1inch;2022-11-16 17:59:03.829788;$0.523920;$0.518301;$0.544801;$326,317,040;$20,189,030
2;1inch;2022-11-16 18:31:20.517608;$0.526769;$0.518301;$0.544801;$327,257,574;$20,295,031
3;1inch;2022-11-16 18:37:44.567425;$0.525956;$0.518301;$0.544801;$327,484,368;$20,026,273
4;1inch;2022-11-16 18:18:26.179425;$0.525451;$0.518301;$0.544801;$326,460,280;$20,059,599
5;1inch;2022-11-16 17:52:39.254623;$0.525352;$0.518301;$0.544801;$326,317,040;$20,239,291
6;1inch;2022-11-16 17:46:12.812009;$0.523191;$0.518301;$0.544801;$324,692,300;$20,185,321
7;1inch;2022-11-16 18:05:28.090591;$0.525704;$0.518301;$0.544801;$325,960,301;$20,381,462
8;1inch;2022-11-16 18:11:56.118130;$0.525445;$0.518301;$0.544801;$326,460,280;$20,107,460
9;1inch;2022-11-16 17:37:53.932612;$0.522858;$0.518301;$0.544801;$325,220,406;$20,180,498
10;aave;2022-11-16 18:24:50.990833;$58.46;$57.60;$62.32;$832,769,680;$93,289,381
11;aave;2022-11-16 17:37:53.932612;$58.34;$57.60;$62.72;$822,928,069;$90,712,522
12;aave;2022-11-16 18:37:44.567425;$58.41;$57.60;$62.28;$827,943,931;$94,933,543
13;aave;2022-11-16 17:52:39.254623;$58.56;$57.60;$62.63;$828,816,176;$91,461,404
14;aave;2022-11-16 18:18:26.179425;$58.69;$57.60;$62.32;$831,146,271;$91,636,498
15;aave;2022-11-16 17:59:03.829788;$58.51;$57.60;$62.56;$828,816,176;$91,471,578
16;aave;2022-11-16 18:05:28.090591;$58.50;$57.60;$62.46;$829,344,297;$91,143,006
17;aave;2022-11-16 18:11:56.118130;$58.70;$57.60;$62.32;$831,146,271;$91,436,911
18;aave;2022-11-16 17:46:12.812009;$58.34;$57.60;$62.72;$825,424,471;$90,847,710
19;aave;2022-11-16 18:31:20.517608;$58.48;$57.60;$62.32;$832,769,680;$94,401,924
20;algorand;2022-11-16 18:31:20.517608;$0.272630;$0.267397;$0.298473;$1,945,305,730;$242,477,745
21;algorand;2022-11-16 17:37:53.932612;$0.270479;$0.267397;$0.298473;$1,915,589,546;$245,685,915
22;algorand;2022-11-16 17:46:12.812009;$0.271026;$0.267397;$0.298473;$1,921,644,371;$244,462,445
23;algorand;2022-11-16 17:59:03.829788;$0.272918;$0.267397;$0.298473;$1,941,101,963;$244,796,760
24;algorand;2022-11-16 18:24:50.990833;$0.273159;$0.267397;$0.298473;$1,945,305,730;$242,902,812
25;algorand;2022-11-16 18:18:26.179425;$0.273590;$0.267397;$0.298473;$1,943,695,615;$243,373,496
26;algorand;2022-11-16 18:05:28.090591;$0.273273;$0.267397;$0.298473;$1,940,032,904;$244,087,126
27;algorand;2022-11-16 17:52:39.254623;$0.273557;$0.267397;$0.298473;$1,941,101,963;$245,319,758
28;algorand;2022-11-16 18:37:44.567425;$0.272558;$0.267397;$0.298473;$1,935,019,323;$242,405,669
29;algorand;2022-11-16 18:11:56.118130;$0.273732;$0.267397;$0.298473;$1,943,695,615;$243,868,776
30;apecoin;2022-11-16 18:11:56.118130;$2.91;$2.85;$3.08;$914,933,397;$138,314,662
31;apecoin;2022-11-16 18:18:26.179425;$2.91;$2.85;$3.08;$914,933,397;$138,318,211
32;apecoin;2022-11-16 17:52:39.254623;$2.92;$2.85;$3.08;$915,856,615;$141,382,243
33;apecoin;2022-11-16 17:46:12.812009;$2.91;$2.85;$3.08;$910,503,890;$140,972,232
34;apecoin;2022-11-16 18:37:44.567425;$2.91;$2.85;$3.08;$911,745,747;$136,160,513
35;apecoin;2022-11-16 17:59:03.829788;$2.91;$2.85;$3.08;$915,856,615;$138,697,388
36;apecoin;2022-11-16 18:05:28.090591;$2.90;$2.85;$3.08;$912,682,676;$138,206,783
37;apecoin;2022-11-16 18:31:20.517608;$2.90;$2.85;$3.08;$915,438,422;$136,742,377
38;apecoin;2022-11-16 18:24:50.990833;$2.91;$2.85;$3.08;$915,438,422;$137,539,037
39;apecoin;2022-11-16 17:37:53.932612;$2.90;$2.85;$3.08;$904,295,843;$140,927,195
40;aptos;2022-11-16 17:37:53.932612;$4.67;$4.20;$4.67;$606,463,486;$116,086,558
41;aptos;2022-11-16 18:31:20.517608;$4.71;$4.20;$4.74;$610,856,701;$131,340,328
42;aptos;2022-11-16 18:05:28.090591;$4.70;$4.20;$4.69;$610,265,890;$125,535,902
43;aptos;2022-11-16 17:59:03.829788;$4.66;$4.20;$4.69;$609,821,266;$120,732,338
44;aptos;2022-11-16 18:18:26.179425;$4.69;$4.20;$4.70;$610,492,170;$126,285,963
45;aptos;2022-11-16 17:46:12.812009;$4.66;$4.20;$4.67;$603,470,061;$121,219,805
46;aptos;2022-11-16 18:11:56.118130;$4.70;$4.20;$4.70;$610,492,170;$125,729,208
47;aptos;2022-11-16 17:52:39.254623;$4.68;$4.20;$4.69;$609,821,266;$120,212,461
